
index,instruction,topic,difficulty,baseline_rougeL,finetuned_rougeL,improvement
10,"I'm trying to replace a standard `torch.nn.Linear` layer with our new `SparseAdaptiveLinear` layer in a pre-trained LLM for fine-tuning. When I load the state_dict, I get: `RuntimeError: Error(s) in loading state_dict for MyModel: size mismatch for MyModel.encoder.layer.0.attn.sparse_adaptive_linear.weight: copying a param with shape torch.Size([1024, 2048]) from checkpoint, but the current model has shape torch.Size([1024, 1024]).` What's the likely issue here if it's supposed to be a drop-in replacement?",Critiquing a novel architecture proposal for missing ablations or confounds,senior,0.14463840399002492,0.13229571984435798,-0.012342684145666943
11,"We're trying to extend our Llama-2-13B's context from 4k to 16k. My plan is to update `max_position_embeddings` to 16384 in the config, then finetune on long sequences using LoRA. Are there any hidden gotchas with this approach?",KV cache memory math and context length scaling,senior,0.10141987829614606,0.14388489208633093,0.04246501379018487
12,"We deployed a new version of our conversational agent model, which includes gradient clipping (`max_norm=1.0`) that wasn't there before. Now, some long conversations are generating nonsensical responses much faster than before. Training loss curves looked fine.","Gradient clipping — when, why, and what threshold",senior,0.12612612612612611,0.17431192660550457,0.048185800479378454
13,"Getting `ValueError: Expected 3D tensor, got 2D` inside a custom Transformer block in TensorFlow after applying LayerNormalization. My block looks like: `x = self.layer_norm1(x) + self.attention(x); x = self.layer_norm2(x) + self.mlp(x)`. This is supposed to be Pre-LN, right?",Explaining why layer norm placement (pre-LN vs post-LN) affects training stability,senior,0.1437371663244353,0.2139917695473251,0.07025460322288979
14,I'm a bit confused by 'compute-optimal' vs 'parameter-optimal' scaling. Which one should we care about for LLMs today?,Explaining scaling laws and what they do/don't predict,junior,0.09643605870020966,0.11162790697674418,0.015191848276534525
15,"My model's precision dropped 15% overnight after a new deploy, but the feature distributions coming into it look identical to yesterday. I'm using `evidentlyai` for this check, and all KS-tests passed. What gives?",Common interview question: design a system to detect model drift in production,senior,0.08755760368663594,0.13008130081300812,0.042523697126372176
16,I'm running `llama.cpp`'s `main` server locally for a quick test. My command is: `./llama.cpp/main -m models/7B/gguf-model.bin -c 2048 -b 512 --port 8080 --host 0.0.0.0`. I want to handle a few concurrent requests. Is there anything I should add or change?,"Model serving architecture (vLLM, TGI, llama.cpp tradeoffs)",junior,0.13,0.1324503311258278,0.0024503311258277927
17,What's the best way to deduplicate my instruction tuning dataset? I'm using a mix of ShareGPT and some synthetic data.,"Data curation for instruction tuning (dedup, quality filtering, diversity)",junior,0.11180124223602483,0.15544041450777202,0.043639172271747184
18,Is FP16 mixed precision just a form of quantization? What's the fundamental difference in purpose?,"Mixed precision training pitfalls (fp16 vs bf16, loss scaling, gradient underflow)",staff,0.1085972850678733,0.15384615384615385,0.04524886877828055
19,"Training stalled completely after about 3 hours, no error, just hung. `nvidia-smi` showed 0% util across all GPUs. We had `timeout=60` set on our `DataLoader`. What could be going on?","Dataloader bottlenecks and how to profile/fix them (num_workers, pin_memory, prefetch)",staff,0.10062893081761005,0.14049586776859502,0.03986693695098496
20,"Our plan is to have a team of 3 engineers spend a week manually coming up with red-team prompts. We figure 3 people, 5 days, 8 hours a day, 10 prompts an hour... that's 1200 prompts. That should be enough for our first release, right?",Designing a red-team eval set for a new model release,junior,0.1059322033898305,0.11072664359861592,0.0047944402087854165
21,"We trained a new vision-language model using a curriculum that prioritized image-caption pairs with high semantic similarity scores initially, then gradually introduced more diverse pairs. The model converged very fast to a low training loss, but our downstream evaluation on COCO zero-shot captions and VQA shows significantly worse performance than our baseline, which used random sampling. What could be the issue?",Curriculum learning and data ordering effects,staff,0.12662942271880823,0.15873015873015872,0.032100736011350495
22,"We shipped a model, passed all our red-team evals for PII leakage, but within hours, a user reported it spitting out credit card numbers. Our eval included prompts asking for 'my credit card' or 'my SSN'. What did we miss?",Designing a red-team eval set for a new model release,staff,0.10244988864142539,0.15593220338983052,0.05348231474840513
23,"Review this Python snippet for calculating daily CTR in our A/B test dashboard. Seems straightforward:
```python
def calculate_daily_ctr(df_events):
    df_events['is_click'] = df_events['event_type'] == 'click'
    daily_summary = df_events.groupby('date').agg(
        total_clicks=('is_click', 'sum'),
        total_impressions=('event_type', lambda x: (x == 'impression').sum())
    )
    daily_summary['ctr'] = daily_summary['total_clicks'] / daily_summary['total_impressions']
    return daily_summary
```","A/B testing a model change in production (statistical power, guardrail metrics)",senior,0.12184873949579832,0.12720848056537104,0.005359741069572724
24,"I'm using DVC for data versioning, and I just ran `dvc add data/raw/images`. Now my Git status shows `data/raw/images.dvc`. Is that all I need to do?",Versioning and reproducibility for ML experiments,junior,0.22123893805309736,0.22549019607843138,0.00425125802533402
25,"I'm calculating the KL penalty in my PPO loss. I use `F.kl_div(log_probs_new, log_probs_sft, reduction='batchmean') * ppo_config.kl_beta`. `log_probs_sft` comes from my initial SFT model. Is this correct?","RLHF pipeline design (reward model, PPO, KL penalty tuning)",junior,0.19339622641509435,0.24113475177304966,0.04773852535795531
26,Does reward shaping make reward hacking worse or better? I'm trying to guide my agent faster.,Reward hacking diagnosis and mitigation,junior,0.18749999999999997,0.2702702702702703,0.08277027027027031
27,"We're planning a new training run for a 7B LLM using FSDP. The current checkpointing strategy involves each rank saving its local shard of the optimizer and model state, then rank 0 aggregates these into a single checkpoint file. We'll use `dist.barrier()` before and after saving. Does this sound like a robust approach?","Distributed training failures (NCCL hangs, rank mismatches, gradient sync bugs)",senior,0.14713896457765668,0.17813765182186236,0.03099868724420568
28,"When should I use activation checkpointing? Does it always save memory, or are there trade-offs?","GPU memory debugging (OOM diagnosis, activation checkpointing tradeoffs, memory fragmentation)",junior,0.11498973305954825,0.19730941704035876,0.0823196839808105
29,"Is there a rule of thumb for how long to keep the 'easy' phase in a curriculum (e.g., short sequences, highly filtered data) before introducing more complex data for a large LLM pre-training run?",Curriculum learning and data ordering effects,senior,0.11899313501144165,0.13765182186234817,0.01865868685090652
30,"I'm trying to get `torch.compile` to speed up my simple MLP. It works for a few iterations but then I see a 'graph break' message in the logs, and it seems to recompile or fall back to eager mode. What are the most common things that cause these breaks?",torch.compile graph breaks and how to diagnose/fix them,junior,0.09977324263038548,0.1217391304347826,0.021965887804397122
31,"My RoPE implementation seems to be applying positions incorrectly. When I inspect the `freqs` tensor, it looks like it's applying the same rotation to all tokens in the sequence sometimes. Here's a simplified view of my `pos_ids` generation logic: `pos_ids = torch.zeros(batch_size, seq_len, dtype=torch.long)` then I call `apply_rope(x, pos_ids)`. What's wrong?","Positional encoding schemes (RoPE, ALiBi, learned) and extrapolation behavior",junior,0.15350877192982457,0.1506024096385542,-0.0029063622912703646
32,"For a new transformer training run on a large dataset (200B tokens), I plan to save a model checkpoint only at the end of each epoch. An epoch will take roughly 8-10 hours. Does that sound reasonable for fault tolerance?","Setting up a remote training job correctly (daemonization, logging, checkpoint cadence)",senior,0.0935412026726058,0.11650485436893204,0.022963651696326248
33,"We're planning to dynamically adjust the PPO `target_kl` based on the moving average of the episodic reward. If reward increases, we'd cautiously increase `target_kl` to encourage more exploration; if reward drops or plateaus, we'd decrease it to stabilize. Thoughts?","RL training instability (KL divergence blowup, policy collapse, reward model overfitting)",staff,0.12669683257918554,0.1641337386018237,0.03743690602263816
34,We're setting up a new distributed training run for a 13B model using `torch.distributed.DDP`. Here's a snippet of our DDP setup. Any red flags?,Explaining scaling laws and what they do/don't predict,senior,0.056338028169014086,0.12206572769953052,0.06572769953051644
35,"What's a good starting value for `init_scale` in `torch.cuda.amp.GradScaler`? I'm using a batch size of 256, a standard AdamW optimizer, and fine-tuning a BERT-sized model.","Mixed precision training pitfalls (fp16 vs bf16, loss scaling, gradient underflow)",junior,0.13821138211382114,0.12745098039215688,-0.010760401721664259
36,"For a new seq2seq model, I'm trying to decide between `tanh` and `ReLU` for the hidden states of my simple RNN encoder. `ReLU` is usually better for deep feedforwards, but I've seen `tanh` in RNN examples. Which one should I pick to avoid BPTT issues?",Explaining backpropagation through time and its failure modes,junior,0.09389671361502347,0.09876543209876541,0.004868718483741943
37,What's the core idea behind MoE and when would I choose it over a standard dense transformer? I'm trying to understand the fundamental trade-off.,Tradeoffs between dense vs sparse (MoE) models at a given inference budget,junior,0.14351851851851852,0.17682926829268295,0.03331074977416443
38,We developed a new RL agent for a custom trading environment. We want to show it's better than DDPG and SAC. We're running DDPG and SAC with their default hyperparameters from Stable Baselines3. Is this sufficient for our baselines?,"Reading a paper's results table skeptically (cherry-picked baselines, missing error bars, unfair comparisons)",staff,0.09859154929577466,0.17194570135746604,0.07335415206169138
39,I'm trying to decide between AWQ and GPTQ for quantizing a 70B model for edge deployment. Any strong opinions on which to prioritize?,"Quantization tradeoffs (GGUF Q4/Q5/Q8, GPTQ, AWQ) and when to use each",staff,0.09501187648456057,0.16216216216216214,0.06715028567760158
40,Reviewing this part of our internal report: 'We trained Model A for 50 epochs with a batch size of 64 and Model B for 20 epochs with batch size 16. Model A achieved higher accuracy.',"Reading a paper's results table skeptically (cherry-picked baselines, missing error bars, unfair comparisons)",junior,0.12734082397003743,0.12765957446808512,0.00031875049804769295
41,We have a server with multiple H100s. We're thinking about using a Q8 GGUF for a Llama-3-70B model with `llama.cpp` to get maximum throughput. Is Q8 GGUF the best option for this setup or should we stick to FP16/BF16?,"Quantization tradeoffs (GGUF Q4/Q5/Q8, GPTQ, AWQ) and when to use each",senior,0.14213197969543148,0.1908713692946058,0.048739389599174315
42,When should I choose IPO over DPO? Are the hyperparameters similar?,DPO/IPO preference optimization pitfalls,senior,0.07476635514018692,0.11894273127753305,0.044176376137346124
43,"I ran Nsight Systems on my custom activation kernel, and the timeline shows my kernel taking much longer than expected. The 'SM Activity' graph shows high occupancy but fluctuating 'Active Warps' and 'Eligible Warps' with 'Divergent Warps' spiking during execution. What's this telling me?",Custom CUDA kernel debugging basics and when you actually need one,senior,0.09406952965235173,0.125,0.030930470347648273
44,"I moved my training code from a single-GPU machine (RTX 3090, 16 CPU cores) to a new server with 8 A100s and 64 CPU cores. I expected it to be much faster, but each training step is actually taking *longer* on the new machine. What gives?","Dataloader bottlenecks and how to profile/fix them (num_workers, pin_memory, prefetch)",junior,0.10438413361169104,0.128686327077748,0.024302193466056957
45,"Review this `data_split.py` for potential issues. I'm using `huggingface/datasets`.
```python
from datasets import load_dataset
dataset = load_dataset('my_corpus', split='train')
train_test_split = dataset.train_test_split(test_size=0.05, seed=42)
train_dataset = train_test_split['train']
test_dataset = train_test_split['test']
# Later, I'm taking a subset of 'train_dataset' for validation.
val_dataset = train_dataset.train_test_split(test_size=0.1)['test']
```","Dataset contamination detection (train/test overlap, benchmark leakage)",senior,0.29739776951672864,0.2045454545454545,-0.09285231497127414
46,What's the most effective hashing strategy for detecting exact duplicates across a 1TB text dataset when memory is limited?,"Dataset contamination detection (train/test overlap, benchmark leakage)",staff,0.1073170731707317,0.14492753623188406,0.03761046306115236
47,"We deployed a new image captioning model, `BLIP-2` (finetuned on MS-COCO) to handle user-uploaded images. After a week, our cloud egress costs skyrocketed by 200%, and image processing latency went from 1s P99 to over 5s P99. We were expecting better performance.",Cost/latency tradeoffs in model selection for a product feature,staff,0.11001964636542241,0.17567567567567566,0.06565602931025324
48,What's the difference between `torch.nn.utils.clip_grad_norm_` and `clip_grad_value_`? When would I use one over the other?,"Gradient clipping — when, why, and what threshold",senior,0.17061611374407581,0.16624685138539044,-0.004369262358685372
49,"Review this `init_weights` function. We're using it for our custom MLP mixer block. ```python def init_weights(m): if isinstance(m, (nn.Linear, nn.Conv2d)): nn.init.xavier_normal_(m.weight) if m.bias is not None: nn.init.constant_(m.bias, 0) ```",Weight initialization schemes and why they matter at scale,staff,0.08470588235294119,0.11726384364820847,0.03255796129526728
50,"Our MoE model's perplexity plateaued significantly higher than expected after 200k steps, and looking at our custom expert usage logs, some experts are consistently seeing 5x the load of others. The `aux_loss` was enabled with a weight of 0.01.",Mixture-of-Experts routing design choices and load balancing,senior,0.10799999999999998,0.234375,0.12637500000000002
51,"We have a custom C++ CUDA kernel that we call directly from Python using `torch.ops.my_lib.my_kernel(...)`. When I `torch.compile` my model, it always hits a graph break right before this kernel call. How do I get `torch.compile` to include my custom kernel in the compiled graph?",torch.compile graph breaks and how to diagnose/fix them,senior,0.11914893617021279,0.13736263736263735,0.01821370119242456
52,"We're deploying a custom `Sentence-BERT` model for semantic search. Here's our `Dockerfile`. Any issues from a performance or cost perspective? ```dockerfile
FROM pytorch/pytorch:1.10.0-cuda11.3-cudnn8-runtime
WORKDIR /app
COPY requirements.txt .
RUN pip install -r requirements.txt
COPY . .
EXPOSE 8000
CMD [""python"", ""app.py""]
```",Cost/latency tradeoffs in model selection for a product feature,junior,0.1179138321995465,0.1610738255033557,0.043159993303809194
53,What are the absolute minimum pieces of state I need to save in a checkpoint to be able to resume training effectively on a preemptible instance? I'm using PyTorch.,Designing a training job that survives preemption/spot instance interruption,junior,0.12106537530266345,0.20472440944881887,0.08365903414615541
54,"Review this activation checkpointing setup. We're getting OOMs occasionally still.
```python
import torch.utils.checkpoint as checkpoint
# ...
def forward(self, input_ids, attention_mask):
    hidden_states = self.embed_tokens(input_ids)
    for layer in self.layers:
        hidden_states = checkpoint.checkpoint(layer, hidden_states, attention_mask, use_reentrant=False)
    return self.norm(hidden_states)
```","GPU memory debugging (OOM diagnosis, activation checkpointing tradeoffs, memory fragmentation)",senior,0.11673151750972761,0.15671641791044774,0.03998490040072013
55,"Our int8 quantized LLM works great for short queries (up to 128 tokens), but performance drops off a cliff for longer inputs (e.g., 512+ tokens). We calibrated using a dataset where the average sequence length was around 64 tokens, with a max of 128. Is this the problem?",Calibration dataset choice for post-training quantization,senior,0.15496368038740918,0.18587360594795538,0.030909925560546198
56,"We're fine-tuning an LLM for a low-resource indigenous language. Annotation resources are extremely scarce, and qualified linguists are hard to find. How can we still build a meaningful eval suite for quality and bias detection?","Designing an eval suite for a new fine-tune (what to measure, contamination risks)",senior,0.10963455149501661,0.13465346534653466,0.025018913851518054
57,"My policy entropy drops to near zero very quickly, usually within the first 500 steps, even with a non-zero `entropy_coeff`. The model then struggles to improve. What should I check?","RL training instability (KL divergence blowup, policy collapse, reward model overfitting)",senior,0.10227272727272728,0.17034700315457413,0.06807427588184685
58,"I'm running `optimum.quanto.quantize` for dynamic quantization on a new Mamba-based model, and with my current calibration dataset, I frequently hit `RuntimeError: 'quantized_int8_linear_tensor_affine' received an unsupported value for argument 'scale_qparam'. Expected a float, but got a tensor.` This only happens when I include very sparse, highly technical documents in my calibration set. With general text, it works fine.",Calibration dataset choice for post-training quantization,staff,0.1208053691275168,0.1272727272727273,0.006467358145210489
59,"We're setting up distributed training with FSDP. To save space, we only save checkpoints on rank 0. When resuming, we load the full model state on rank 0, then initialize FSDP. Is this robust?","Checkpoint resume bugs (optimizer state mismatch, torch.compile state_dict prefix issues, LR schedule discontinuity)",junior,0.16097560975609757,0.2246376811594203,0.06366207140332272
60,"When I resume training from a checkpoint, my learning rate immediately jumps to max again instead of continuing its decay. I'm using `torch.optim.lr_scheduler.CosineAnnealingLR`. What am I missing?","Checkpoint resume bugs (optimizer state mismatch, torch.compile state_dict prefix issues, LR schedule discontinuity)",junior,0.14512471655328799,0.20080321285140562,0.055678496298117636
61,When would it actually be *bad* to use a 'variance-preserving' initialization like He or Xavier? It seems like they're always recommended for deep nets.,Weight initialization schemes and why they matter at scale,junior,0.1298245614035088,0.1564625850340136,0.026638023630504826
62,"Our model's F1 score dropped from 0.85 to 0.70 overnight, but all the input feature drift monitors are green. We're using Kolmogorov-Smirnov for numerical and Chi-squared for categorical. What gives? Our data team insists the upstream pipeline didn't change.",Common interview question: design a system to detect model drift in production,staff,0.1092436974789916,0.12962962962962962,0.020385932150638025
63,"I need to fine-tune a BERT-base equivalent model (110M params) on a specialized dataset. I have access to a cluster with A100 80GB GPUs. Should I just use one of those, or is it overkill? I want to finish quickly.","Choosing GPU hardware for a training job (VRAM math, interconnect bandwidth, cost-per-token)",junior,0.12313432835820896,0.18072289156626506,0.057588563208056096
64,"My training run for a 7B LLM on 8x A100s just crashed. Log shows `loss: nan` and the stack trace points to the backward pass. Before that, my gradients were spiking - I saw `grad_norm: 1200.5` in my wandb logs for a few steps, then it went `nan`. What's the immediate fix?","Gradient clipping — when, why, and what threshold",staff,0.09111617312072894,0.17142857142857143,0.0803123983078425
65,"Trying to load a GPTQ-quantized Llama-2-7B model with vLLM using `model = LLM(model='TheBloke/Llama-2-7B-GPTQ', quantization='gptq')`. It errors out with `ValueError: 'gptq' is not a valid quantization method.` What am I missing?","Model serving architecture (vLLM, TGI, llama.cpp tradeoffs)",senior,0.20327868852459016,0.20634920634920634,0.0030705178246161757
66,"How do I calculate the memory used by KV cache for a single transformer layer during inference, assuming `bfloat16` precision?",KV cache memory math and context length scaling,junior,0.1351981351981352,0.19302949061662197,0.057831355418486774
67,Got this after a few epochs on a new experimental vision model. Loss: 0.5 -> 0.3 -> 0.7 -> NaN. This happened a few times. What's the usual culprit when loss goes to NaN so quickly?,Overfitting vs underfitting diagnosis from loss curves alone,staff,0.10901467505241091,0.20202020202020202,0.0930055269677911
68,"I'm seeing `KeyError: 'param_groups'` when I try to load my optimizer state after making a small architecture change to my model (added one `nn.Linear` layer) and then reloading a checkpoint saved *before* the change. My resume logic: `model.load_state_dict(ckpt['model_state_dict'])`, then `optimizer.load_state_dict(ckpt['optimizer_state_dict'])`. What gives?","Checkpoint resume bugs (optimizer state mismatch, torch.compile state_dict prefix issues, LR schedule discontinuity)",staff,0.1446808510638298,0.1702127659574468,0.025531914893617003
69,"I'm trying to load a `state_dict` saved from an uncompiled model into a model that I just wrapped with `torch.compile`. I'm getting `RuntimeError: Error(s) in loading state_dict for MyModel: Missing key(s) in state_dict: ""_orig_mod.transformer.wte.weight""` and many others like it. What's the deal with `_orig_mod`?","Checkpoint resume bugs (optimizer state mismatch, torch.compile state_dict prefix issues, LR schedule discontinuity)",staff,0.19103313840155947,0.21983914209115282,0.02880600368959335
70,"To evaluate our new medical chatbot, we're planning to use a subset of questions from MedQA and USMLE, translated into conversational turns. Our training data is a mix of medical textbooks and transcribed doctor-patient dialogues. We think this will give us a good measure of its clinical reasoning.","Dataset contamination detection (train/test overlap, benchmark leakage)",junior,0.11688311688311688,0.09411764705882353,-0.022765469824293352
71,"I'm trying to implement a custom GRU cell and my memory usage keeps exploding. Here's the core loop. What am I missing?
```python
class CustomGRU(nn.Module):
    def __init__(self, ...):
        super().__init__()
        # ... define layers for reset_gate, update_gate, new_state

    def forward(self, input, h_prev):
        # ... calculate gates and new_h
        return new_h, new_h # return new_h twice for compatibility
```
Then in the training loop:
```python
hidden_state = torch.zeros(...)
for t in range(seq_len):
    output, hidden_state = model(input_seq[t], hidden_state)
    # loss calculation and backward call here, but detached for simplicity
```",Explaining backpropagation through time and its failure modes,staff,0.09312638580931265,0.20276497695852536,0.1096385911492127
72,What's the main difference between AdamW and just Adam for fine-tuning a BERT model? Does it really matter?,Choosing optimizers (AdamW vs Lion vs Sophia) and when it matters,junior,0.1374722838137472,0.14598540145985403,0.008513117646106821
73,I'm trying to implement a simple SSM for a project. Here's the core recurrence: `h_t = A @ h_{t-1} + B @ x_t`. Is this missing anything important for it to be competitive with a Transformer?,State space models / Mamba vs transformer tradeoffs,junior,0.0935412026726058,0.13333333333333333,0.03979213066072754
74,"I'm reviewing a `pytorch_lightning` training config. The `configure_optimizers` method defines an `AdamW` optimizer and then immediately schedules `torch.optim.lr_scheduler.StepLR(optimizer, step_size=1000)`. There's no explicit mention of warmup. What's the most critical feedback?",Learning rate schedule design and warmup tuning,senior,0.10106382978723404,0.1568627450980392,0.05579891531080518
75,"I'm planning an RLHF experiment where I'll train my reward model on a dataset of human preferences. I'll then use this fixed reward model to train my LLM with PPO. I plan to use a single, fixed `kl_coeff` value for the PPO objective, say 0.02, based on what I've seen in some examples. Does this sound like a solid plan for a first run?","RL training instability (KL divergence blowup, policy collapse, reward model overfitting)",junior,0.13333333333333333,0.19200000000000003,0.0586666666666667
76,"We pre-trained a Llama-style model for 2T tokens on a 2048 context window with RoPE, then tried to fine-tune it on a long-form dataset (up to 8192 tokens), just by changing `max_position_embeddings` and passing longer sequences. Performance on long-form tasks is terrible, even worse than a baseline without fine-tuning. Short-form tasks are fine. What's the most probable cause of this regression?","Positional encoding schemes (RoPE, ALiBi, learned) and extrapolation behavior",senior,0.12269938650306747,0.17123287671232876,0.04853349020926129
77,"Hey, I keep hearing 'reward hacking' thrown around. Can you give me a concrete, technical example of what it looks like in an RL setting, not just the abstract 'agent found a loophole' stuff?",Reward hacking diagnosis and mitigation,junior,0.15,0.24800000000000003,0.09800000000000003
78,"My team is debating if we can just use our existing production monitoring for model performance (like RMSE, F1 score) to detect concept drift. Why isn't that sufficient?",Common interview question: design a system to detect model drift in production,junior,0.09670329670329669,0.12025316455696201,0.02354986785366532
79,"We have a custom `collate_fn` for handling variable-length sequences with padding. Here's the relevant part: `def custom_collate(batch): max_len = max(len(x['input_ids']) for x in batch) padded_batch = [] for item in batch: item['input_ids'] = F.pad(item['input_ids'], (0, max_len - len(item['input_ids']))) padded_batch.append(item) return default_collate(padded_batch)`","Dataloader bottlenecks and how to profile/fix them (num_workers, pin_memory, prefetch)",senior,0.09836065573770493,0.18867924528301885,0.09031858954531392
80,"From a systems perspective, how does MoE affect peak theoretical throughput (QPS) differently than per-token latency, compared to a dense model of similar 'quality'?",Tradeoffs between dense vs sparse (MoE) models at a given inference budget,staff,0.1279620853080569,0.15853658536585366,0.030574500057796772
81,"Hey, I'm seeing a lot of recent Transformer models use 'Pre-LN' and older ones use 'Post-LN'. What's the actual difference and why does it matter for training stability?",Explaining why layer norm placement (pre-LN vs post-LN) affects training stability,junior,0.1473684210526316,0.14241486068111456,-0.004953560371517035
82,We introduced a new 'Adversarial Stability Loss' to regularize our GAN's discriminator. We're seeing more stable training and better FID. Is there a common pitfall to watch out for with these kinds of regularization losses?,Critiquing a novel architecture proposal for missing ablations or confounds,staff,0.11133200795228629,0.19298245614035087,0.08165044818806458
83,"Why is loss scaling often unnecessary when using `bf16` mixed precision, unlike `fp16`?","Mixed precision training pitfalls (fp16 vs bf16, loss scaling, gradient underflow)",senior,0.12162162162162161,0.19622641509433963,0.07460479347271802
84,"We're generating synthetic instructions from a seed set. Our plan is to take existing `instruction`s, use GPT-4 to paraphrase them, and then generate a new `response` for each. This should boost our dataset size significantly. Good idea?","Data curation for instruction tuning (dedup, quality filtering, diversity)",senior,0.10933940774487472,0.1589958158995816,0.04965640815470687
85,"Our fine-tuning run for a custom 3B model diverged very early, around 100 steps. We were using a peak LR of `1e-5` with AdamW, and `warmup_steps=10` (total steps `10000`). We then tried `warmup_steps=100`, and it still diverged at step 100. What's going on?",Learning rate schedule design and warmup tuning,senior,0.1118881118881119,0.16,0.0481118881118881
86,"We had a stable LLaMA 7B fine-tune on a single A100 with `per_device_train_batch_size=128`. We're now moving to a multi-node setup (4x A100s per node, 2 nodes) and using `per_device_train_batch_size=16` with `gradient_accumulation_steps=8`. The global effective batch size is still 128 * 8 = 1024, but our downstream task accuracy regressed from 78% to 72%. Why?",Batch size / gradient accumulation tradeoffs and effective batch size math,staff,0.1306122448979592,0.19875776397515527,0.06814551907719607
87,"For a highly sparse tensor operation (98% zeros) that's a key part of our model, PyTorch's sparse ops aren't performing well because our sparsity pattern is very specific (block-diagonal with random internal sparsity). We're considering a custom kernel. Is this a good use case?",Custom CUDA kernel debugging basics and when you actually need one,staff,0.12796208530805686,0.21004566210045664,0.08208357679239978
88,"My `collate_fn` for PyTorch is like this. I read somewhere that sorting by length helps, so I added it. Is this giving me curriculum learning?
```python
def my_collate_fn(batch):
    # Sort items in the *batch* by sequence length
    batch.sort(key=lambda x: len(x['input_ids']), reverse=True)
    # Pad and create tensors
    # ...
    return padded_batch_tensors
```",Curriculum learning and data ordering effects,junior,0.11342155009451797,0.14067278287461776,0.02725123278009979
89,"We ran our first red-team eval, about 500 prompts, and the results were... confusing. The model's overall safety score actually went *up* compared to our old smaller eval set, but when I spot-checked, I found several clearly harmful responses that the eval classified as 'safe'. What could be going on?",Designing a red-team eval set for a new model release,junior,0.08863198458574181,0.14130434782608695,0.05267236324034513
90,"Review this `moe_layer` config. We're using `top_k=2`.
```python
moe_config = {
    'num_experts': 8,
    'expert_capacity_factor': 1.25,
    'top_k': 2,
    'router_loss_weight': 0.01,
    'router_type': 'token_choice'
}
```",Tradeoffs between dense vs sparse (MoE) models at a given inference budget,senior,0.17943107221006563,0.13538461538461535,-0.044046456825450275
91,"For our new 7B parameter model fine-tuned for complex reasoning, I'm planning to evaluate it on a standard set of 100 multiple-choice questions from a public academic benchmark. Is that a good starting point?","Designing an eval suite for a new fine-tune (what to measure, contamination risks)",junior,0.11691022964509394,0.1417910447761194,0.024880815131025455
92,"Our last training run on spot instances completed, but when we tried to load the final checkpoint, it was corrupted. The `torch.load` call failed with `OSError: [Errno 12] Cannot allocate memory` or a pickle error. We manually verified the file size on S3, and it seemed plausible. What could cause this?",Designing a training job that survives preemption/spot instance interruption,staff,0.08071748878923767,0.14046822742474918,0.059750738635511516
